City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind speed (mph)
acapulco,9.72,-102.72,80.23,99,80,17.49
adeje,26.75,-17.66,71.41,100,0,25.1
aden,13.38,47.48,79.96,98,0,14.47
adrar,28.9,1.38,49.41,48,0,18.84
adrian,41.77,-84.04,36.43,51,1,18.34
aguimes,26.93,-14.95,72.36,94,0,24.76
airai,17.29,143.73,82.26,100,64,13.8
akdepe,40.94,59.12,22.18,77,0,15.37
aklavik,66.6,-137.44,17.01,76,0,6.2
aksarka,70.13,67.86,19.21,90,88,15.93
albany,-61.75,103.25,31.41,99,88,17.83
alekseyevsk,57.19,109.39,0.09,77,68,2.62
alice springs,-24.04,137.26,64.17,37,88,3.06
alofi,-26.21,-166.17,71.73,100,76,25.32
alugan,15.74,130.46,81.27,100,44,19.95
amapa,3.41,-48.6,76.18,100,92,4.74
ambovombe,-28.97,47.09,75.64,97,8,12.35
amderma,74.88,59.23,-4.46,76,80,19.62
amstetten,48.3,14.82,39.2,91,75,13.87
anadyr,60.41,172.62,27.18,100,56,29.8
anchorage,61.97,-150.13,34.72,92,90,4.7
ancud,-42.37,-94.4,53.55,100,24,11.56
aranda de duero,41.54,-3.34,18.09,73,0,2.62
ardakan,33.0,53.91,22.59,70,0,2.62
arinos,-16.71,-45.99,74.16,95,64,7.65
armacao dos buzios,-24.91,-37.96,71.86,100,44,21.07
arraial do cabo,-32.52,-39.84,63.49,100,0,11.23
artemovsk,48.49,38.11,28.21,92,48,3.96
asau,-12.25,174.81,84.24,100,24,5.41
atocha,-21.28,-66.77,61.2,16,76,13.02
atuona,-11.22,-139.77,79.74,100,68,16.82
avarua,-25.67,-165.23,72.54,100,56,13.13
awbari,27.22,12.65,54.27,44,64,12.24
ayna,-12.21,-74.15,59.85,85,80,1.05
bac lieu,7.56,107.75,80.73,100,88,20.51
baghdad,33.0,43.8,53.6,46,20,10.29
balestrand,61.17,6.37,36.63,100,75,2.24
balkanabat,41.89,54.85,26.41,60,24,25.43
bambous virieux,-22.2,63.29,77.71,99,68,15.93
ban nahin,18.26,104.37,57.01,83,0,2.17
banda aceh,1.89,89.71,80.1,100,68,20.07
bandarbeyla,8.5,55.16,79.78,98,92,18.72
barbar,18.93,34.66,74.61,50,0,11.45
barentsburg,81.63,7.53,12.64,100,80,28.57
bargal,10.65,53.94,80.14,100,48,20.07
barrow,84.25,-149.7,4.63,80,56,13.02
batagay,68.48,134.99,-36.01,67,12,2.39
batemans bay,-38.92,153.16,66.28,100,92,25.21
bathsheba,16.52,-54.24,79.92,100,92,14.03
belaya gora,67.25,148.05,-21.74,31,8,2.51
belushya guba,86.45,47.86,-4.15,81,32,14.03
belyy yar,62.26,86.1,23.67,83,76,7.99
ben tre,10.08,106.41,75.24,98,20,2.84
bengkulu,-25.27,86.76,71.55,100,64,16.49
bereznik,63.38,42.57,22.32,78,80,3.74
beringovskiy,53.74,177.36,36.54,100,48,18.5
bethel,56.98,-163.9,37.93,100,0,11.34
bicaz chei,46.82,25.81,21.24,83,20,5.75
bilibino,67.35,164.2,-1.22,77,76,2.51
bloemfontein,-29.37,26.22,60.8,67,36,8.05
bluff,-50.64,168.94,47.83,100,48,4.52
bollnas,61.92,16.01,25.51,88,0,7.43
bolungarvik,67.13,-26.29,23.08,86,36,29.12
bongandanga,1.11,20.19,76.41,89,24,4.63
bonthe,5.71,-14.94,81.9,100,0,1.39
bousso,10.33,17.49,69.88,30,0,4.18
bredasdorp,-84.16,15.5,-20.35,62,24,6.53
bridlington,54.99,0.76,48.15,100,24,27.56
broken hill,-29.1,140.07,61.83,53,0,10.67
broome,-22.97,124.68,73.03,79,48,8.55
bubaque,4.04,-23.32,79.24,100,88,6.76
bundaberg,-24.05,152.68,77.89,95,0,3.62
busselton,-34.9,115.55,62.1,100,80,14.58
buta,2.57,24.36,76.54,79,12,2.17
butaritari,28.22,169.4,75.64,99,80,9.66
cabedelo,-5.07,-30.34,79.2,100,68,12.01
cabo san lucas,10.94,-126.6,77.85,100,92,12.35
cabra,14.23,118.66,83.38,100,36,19.73
cairns,-16.57,146.12,73.4,88,20,7.76
camacha,39.63,-16.13,63.99,100,48,17.38
cape town,-67.61,-12.75,24.93,100,48,4.52
carballo,46.72,-11.72,58.14,99,68,22.3
carnarvon,-19.77,106.58,74.43,100,88,20.85
carora,10.27,-69.96,84.73,49,12,13.8
carutapera,2.97,-43.45,78.39,100,68,13.24
casablanca,35.0,-8.14,64.66,100,0,9.78
castro,-44.51,-76.65,53.1,100,64,15.48
chagda,59.16,132.25,-34.61,62,36,2.84
changde,28.83,111.4,35.46,86,0,2.73
chapais,53.74,-72.58,29.61,92,92,30.58
charters towers,-21.66,143.87,65.74,36,0,5.64
cheremshan,54.79,51.34,26.01,88,92,14.36
chernyshevskiy,62.08,112.68,-26.24,39,48,2.73
cherskiy,80.63,160.38,-11.66,78,36,9.44
chicama,-12.27,-85.45,67.23,100,20,14.03
chimoio,-18.53,34.23,75.91,80,48,4.18
chissamba,-12.19,17.47,65.38,92,64,2.17
chokurdakh,78.0,152.91,-14.36,67,24,6.98
chuy,-44.1,-44.49,53.82,91,0,20.4
cidreira,-52.52,-29.08,33.66,100,80,1.39
cintalapa,16.99,-94.16,74.74,81,20,2.73
clyde river,68.16,-69.94,7.69,88,76,10.22
cockburn town,26.22,-71.17,76.95,100,76,16.04
codrington,22.78,-52.01,75.64,100,8,10.67
coffs harbour,-30.91,157.53,71.01,100,80,21.52
coihaique,-48.48,-75.88,49.86,100,92,10.33
colares,38.83,-10.91,59.49,100,0,6.76
colon,9.7,-80.14,76.77,100,92,12.35
comodoro rivadavia,-45.23,-65.93,72.27,57,0,6.98
conceicao da barra,-19.34,-37.58,77.26,100,92,10.11
constitucion,11.02,-127.74,78.43,100,56,8.99
coquimbo,-28.74,-79.54,63.76,100,68,15.03
